Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute, by type), A, Current week","Hepatitis (viral, acute, by type), A, Current week, flag ","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), A, Cum 2017","Hepatitis (viral, acute, by type), A, Cum 2017, flag","Hepatitis (viral, acute, by type), A, Cum 2016","Hepatitis (viral, acute, by type), A, Cum 2016, flag","Hepatitis (viral, acute, by type), B, Current week","Hepatitis (viral, acute, by type), B, Current week, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), B, Cum 2017","Hepatitis (viral, acute, by type), B, Cum 2017, flag","Hepatitis (viral, acute, by type), B, Cum 2016","Hepatitis (viral, acute, by type), B, Cum 2016, flag",Location 1,Location 2
SOUTH DAKOTA,2017,33,,-,0,,0,,,-,1,,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
CALIFORNIA,2017,33,,-,6,,19,,272,,152,,,-,2,,6,,60,,79,,"CALIFORNIA
(37.640735, -121.002435)",
W.N. CENTRAL,2017,33,,-,1,,5,,32,,49,,2,,2,,5,,60,,63,,,
NEW ENGLAND,2017,33,,-,2,,5,,35,,53,,,-,2,,5,,67,,57,,,
FLORIDA,2017,33,,-,4,,10,,141,,68,,,-,11,,19,,325,,333,,"FLORIDA
(28.915325, -81.922409)",
NEW YORK,2017,33,2,,1,,4,,37,,31,,2,,0,,4,,18,,24,,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2017,33,,-,0,,1,,4,,10,,,-,1,,6,,40,,32,,"LOUISIANA
(31.2931, -92.463284)",
NEW JERSEY,2017,33,,-,1,,4,,30,,50,,,-,1,,4,,19,,33,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2017,33,,-,1,,41,,23,,68,,,-,1,,5,,44,,31,,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2017,33,,-,0,,2,,5,,8,,,-,1,,5,,30,,33,,"ARKANSAS
(34.748745, -92.275105)",
MARYLAND,2017,33,,-,0,,5,,13,,15,,,-,0,,2,,16,,19,,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2017,33,,-,0,,1,,,-,1,,,-,0,,1,,4,,5,,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2017,33,,-,1,,5,,29,,37,,,-,0,,3,,15,,29,,"ILLINOIS
(40.477092, -88.993221)",
GEORGIA,2017,33,1,,1,,5,,23,,22,,1,,2,,7,,65,,68,,"GEORGIA
(32.836038, -83.631709)",
VIRGIN ISL.,2017,33,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,33,,-,0,,3,,6,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
TEXAS,2017,33,4,,2,,8,,81,,80,,,-,2,,17,,53,,88,,"TEXAS
(31.827233, -99.423022)",
S. ATLANTIC,2017,33,1,,8,,55,,235,,222,,1,,22,,33,,661,,756,,,
W.S. CENTRAL,2017,33,4,,3,,9,,94,,103,,,-,4,,36,,131,,158,,,
MISSISSIPPI,2017,33,,-,0,,1,,2,,2,,,-,1,,3,,23,,16,,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2017,33,,-,3,,13,,172,,20,,,-,0,,4,,32,,18,,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2017,33,,-,1,,4,,22,,34,,,-,0,,3,,14,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,33,,-,0,,2,,6,,10,,,-,0,,3,,11,,14,,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2017,33,,-,0,,1,,2,,19,,,-,0,,1,,1,,11,,"PUERTO RICO
(18.215692, -66.414655)",
MID. ATLANTIC,2017,33,6,,5,,11,,166,,138,,3,,4,,11,,105,,129,,,
KENTUCKY,2017,33,,-,0,,1,,6,,4,,5,,4,,12,,139,,121,,"KENTUCKY
(37.64591, -84.774043)",
DIST. OF COL.,2017,33,,-,0,,3,,1,,,-,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2017,33,,-,1,,5,,16,,33,,,-,3,,10,,68,,104,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2017,33,,-,0,,2,,19,,10,,,-,0,,2,,6,,11,,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,33,,-,0,,1,,3,,1,,,-,0,,1,,3,,1,,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,33,,-,0,,1,,4,,3,,,-,0,,3,,17,,12,,"KANSAS
(38.345528, -98.201847)",
INDIANA,2017,33,,-,0,,2,,7,,13,,,-,3,,10,,126,,94,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2017,33,,-,0,,1,,4,,11,,2,,1,,3,,22,,24,,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,33,2,,1,,7,,37,,14,,,-,0,,2,,9,,14,,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2017,33,,-,0,,0,,,-,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2017,33,,-,0,,3,,19,,9,,,-,0,,2,,6,,3,,"UTAH
(39.359772, -111.584173)",
OHIO,2017,33,1,,0,,7,,18,,19,,1,,4,,16,,168,,200,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,33,14,,39,,101,,1234,,1123,,16,,62,,146,,1854,,1958,,,
OKLAHOMA,2017,33,,-,0,,4,,4,,5,,,-,0,,15,,8,,5,,"OKLAHOMA
(35.468494, -97.521264)",
PACIFIC,2017,33,,-,9,,35,,300,,385,,1,,3,,47,,99,,93,,,
GUAM,2017,33,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
W.S. CENTRAL,2017,34,2,,3,,9,,98,,106,,4,,4,,36,,137,,166,,,
IOWA,2017,34,,-,0,,2,,4,,9,,,-,0,,2,,11,,8,,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2017,34,,-,0,,2,,19,,10,,,-,0,,2,,6,,11,,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2017,34,,-,1,,4,,25,,35,,,-,0,,3,,16,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
MOUNTAIN,2017,34,,-,2,,11,,120,,64,,1,,1,,4,,48,,50,,,
TENNESSEE,2017,34,,-,0,,1,,3,,3,,,-,4,,9,,123,,131,,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,34,,-,1,,5,,37,,39,,,-,0,,2,,17,,29,,"ILLINOIS
(40.477092, -88.993221)",
C.N.M.I.,2017,34,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2017,34,,-,0,,4,,11,,12,,,-,0,,4,,7,,20,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2017,34,,-,0,,4,,1,,13,,,-,0,,2,,4,,6,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2017,34,5,,1,,4,,44,,33,,,-,0,,4,,18,,24,,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,34,,-,1,,4,,35,,32,,1,,1,,4,,40,,29,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,34,,-,0,,7,,18,,19,,,-,4,,16,,168,,206,,"OHIO
(40.056807, -82.405897)",
KANSAS,2017,34,,-,0,,1,,4,,3,,,-,0,,3,,18,,12,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2017,34,1,,0,,1,,5,,12,,,-,1,,3,,23,,24,,"MISSOURI
(38.636168, -92.566292)",
AMER. SAMOA,2017,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2017,34,,-,0,,1,,3,,3,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2017,34,,-,1,,4,,32,,51,,,-,1,,4,,19,,34,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK CITY,2017,34,3,,2,,6,,67,,28,,1,,1,,4,,34,,45,,,
OKLAHOMA,2017,34,,-,0,,4,,4,,5,,,-,0,,15,,8,,5,,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,34,,-,0,,1,,,-,1,,,-,0,,1,,4,,5,,"ALASKA
(64.836661, -147.738891)",
DIST. OF COL.,2017,34,,-,0,,3,,1,,,-,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
LOUISIANA,2017,34,,-,0,,1,,4,,10,,,-,1,,6,,40,,34,,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2017,34,,-,0,,1,,2,,4,,1,,0,,2,,7,,6,,"IDAHO
(43.680635, -114.364237)",
COLORADO,2017,34,,-,1,,7,,37,,16,,,-,0,,2,,9,,15,,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,34,2,,1,,5,,25,,25,,1,,2,,7,,66,,70,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,34,,-,0,,4,,7,,2,,,-,0,,3,,17,,7,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2017,34,,-,0,,2,,7,,7,,,-,0,,1,,4,,6,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,34,,-,1,,41,,23,,94,,,-,1,,5,,44,,31,,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,34,2,,3,,8,,85,,82,,4,,2,,17,,58,,92,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,34,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,34,,-,0,,1,,6,,4,,4,,4,,12,,144,,125,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,34,,-,0,,2,,6,,11,,,-,0,,3,,11,,14,,"NEVADA
(39.491833, -117.070159)",
VERMONT,2017,34,,-,0,,1,,2,,3,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,34,,-,0,,3,,10,,14,,,-,1,,5,,49,,42,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2017,34,,-,0,,3,,19,,9,,,-,0,,2,,6,,3,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,34,,-,4,,10,,141,,72,,,-,11,,19,,325,,347,,"FLORIDA
(28.915325, -81.922409)",
E.S. CENTRAL,2017,34,,-,0,,4,,21,,23,,4,,11,,19,,339,,314,,,
MONTANA,2017,34,,-,0,,1,,3,,1,,,-,0,,1,,3,,1,,"MONTANA
(47.062617, -109.430168)",
S. ATLANTIC,2017,34,3,,8,,55,,242,,264,,1,,22,,33,,673,,784,,,
MID. ATLANTIC,2017,34,8,,5,,11,,178,,144,,2,,4,,11,,111,,132,,,
E.N. CENTRAL,2017,34,,-,7,,15,,241,,116,,,-,9,,22,,361,,373,,,
NORTH DAKOTA,2017,34,,-,0,,0,,,-,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2017,34,,-,0,,1,,3,,1,,,-,0,,2,,8,,1,,"DELAWARE
(39.008676, -75.574561)",
SOUTH DAKOTA,2017,34,,-,0,,0,,,-,1,,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
CALIFORNIA,2017,34,2,,6,,20,,304,,157,,,-,2,,6,,61,,84,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,34,,-,0,,1,,2,,2,,,-,1,,3,,23,,16,,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2017,34,,-,0,,3,,6,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,34,,-,0,,1,,2,,19,,,-,0,,1,,1,,12,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2017,34,,-,1,,5,,17,,33,,,-,3,,10,,76,,109,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,34,,-,0,,1,,2,,3,,,-,1,,5,,51,,29,,"MAINE
(45.252223, -68.986647)",
NEW ENGLAND,2017,34,,-,2,,5,,39,,54,,,-,2,,5,,72,,59,,,
W.N. CENTRAL,2017,34,1,,1,,5,,33,,50,,,-,2,,5,,62,,64,,,
MARYLAND,2017,34,1,,0,,5,,16,,20,,,-,0,,2,,17,,19,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,34,,-,4,,13,,172,,43,,,-,1,,4,,32,,31,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2017,34,,-,0,,2,,5,,9,,,-,1,,3,,31,,35,,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,34,,-,0,,4,,5,,7,,,-,4,,13,,130,,187,,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2017,34,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,34,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
PACIFIC,2017,34,4,,9,,35,,333,,401,,,-,3,,47,,100,,98,,,
INDIANA,2017,34,,-,0,,2,,7,,13,,,-,3,,10,,127,,100,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,34,1,,0,,31,,8,,,-,,-,0,,45,,25,,,-,"WASHINGTON
(47.517368, -120.467672)",
UNITED STATES,2017,34,18,,39,,105,,1305,,1222,,12,,61,,146,,1903,,2040,,,
NEW MEXICO,2017,34,,-,0,,1,,2,,1,,,-,0,,0,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2017,34,,-,1,,5,,45,,22,,,-,0,,2,,12,,10,,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2017,34,,-,0,,12,,4,,233,,,-,0,,1,,1,,,-,"HAWAII
(21.30992, -157.858158)",
OREGON,2017,34,1,,0,,3,,17,,10,,,-,0,,3,,9,,9,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2017,35,,-,0,,0,,,-,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
ILLINOIS,2017,35,,-,1,,5,,37,,41,,,-,0,,2,,17,,29,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,35,,-,0,,4,,1,,17,,,-,0,,2,,4,,6,,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2017,35,,-,3,,10,,141,,73,,,-,11,,19,,325,,362,,"FLORIDA
(28.915325, -81.922409)",
KENTUCKY,2017,35,,-,0,,1,,6,,4,,5,,4,,12,,150,,128,,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2017,35,,-,0,,2,,7,,8,,,-,0,,1,,6,,7,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,35,,-,0,,1,,2,,1,,,-,0,,0,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2017,35,14,,39,,105,,1394,,1327,,17,,60,,146,,1960,,2107,,,
MINNESOTA,2017,35,,-,0,,2,,20,,10,,,-,0,,2,,7,,11,,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2017,35,,-,0,,1,,,-,1,,,-,0,,1,,4,,5,,"ALASKA
(64.836661, -147.738891)",
IOWA,2017,35,,-,0,,2,,4,,9,,,-,0,,2,,11,,8,,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,35,,-,0,,3,,6,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,35,,-,0,,1,,4,,3,,,-,0,,3,,18,,15,,"KANSAS
(38.345528, -98.201847)",
W.S. CENTRAL,2017,35,1,,3,,9,,101,,110,,2,,4,,36,,140,,171,,,
MAINE,2017,35,,-,0,,1,,2,,3,,1,,1,,3,,51,,31,,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2017,35,6,,2,,6,,73,,29,,1,,1,,4,,35,,48,,,
S. ATLANTIC,2017,35,,-,7,,55,,243,,319,,4,,22,,33,,679,,810,,,
C.N.M.I.,2017,35,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GUAM,2017,35,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2017,35,,-,1,,4,,32,,55,,,-,1,,4,,19,,34,,"NEW JERSEY
(40.104655, -74.386686)",
MISSISSIPPI,2017,35,,-,0,,1,,2,,2,,,-,1,,3,,23,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
PACIFIC,2017,35,1,,9,,35,,351,,416,,,-,3,,47,,101,,100,,,
COLORADO,2017,35,2,,0,,7,,39,,16,,1,,0,,2,,10,,15,,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,35,,-,1,,5,,26,,26,,1,,2,,7,,69,,72,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2017,35,,-,0,,1,,2,,4,,,-,0,,2,,7,,6,,"IDAHO
(43.680635, -114.364237)",
MID. ATLANTIC,2017,35,7,,5,,11,,187,,155,,3,,4,,11,,114,,137,,,
WEST VIRGINIA,2017,35,,-,0,,3,,5,,10,,,-,4,,13,,130,,191,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW ENGLAND,2017,35,,-,2,,5,,39,,59,,1,,2,,5,,74,,62,,,
LOUISIANA,2017,35,,-,0,,1,,4,,10,,,-,1,,6,,40,,34,,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2017,35,,-,0,,1,,3,,1,,,-,0,,2,,8,,1,,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2017,35,,-,0,,4,,11,,14,,,-,0,,4,,7,,20,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,35,,-,0,,5,,15,,25,,2,,0,,2,,19,,19,,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2017,35,,-,1,,4,,25,,39,,,-,0,,3,,16,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
MOUNTAIN,2017,35,2,,3,,11,,131,,65,,1,,1,,4,,54,,51,,,
DIST. OF COL.,2017,35,,-,0,,3,,1,,1,,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2017,35,,-,0,,2,,7,,14,,,-,4,,10,,144,,106,,"INDIANA
(39.76845, -86.156212)",
VIRGIN ISL.,2017,35,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UTAH,2017,35,,-,0,,3,,24,,9,,,-,0,,2,,6,,4,,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,35,,-,0,,2,,10,,11,,,-,0,,3,,14,,14,,"NEVADA
(39.491833, -117.070159)",
TEXAS,2017,35,1,,3,,8,,87,,86,,,-,2,,17,,58,,97,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2017,35,,-,0,,1,,2,,19,,,-,0,,1,,1,,12,,"PUERTO RICO
(18.215692, -66.414655)",
E.N. CENTRAL,2017,35,3,,8,,15,,286,,125,,,-,10,,23,,388,,382,,,
E.S. CENTRAL,2017,35,,-,0,,4,,22,,23,,6,,11,,19,,347,,325,,,
VERMONT,2017,35,,-,0,,1,,2,,3,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2017,35,,-,0,,1,,3,,3,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,35,,-,0,,1,,3,,3,,1,,4,,9,,125,,137,,"TENNESSEE
(35.681402, -85.774444)",
AMER. SAMOA,2017,35,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MICHIGAN,2017,35,,-,5,,13,,213,,47,,,-,1,,4,,42,,31,,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2017,35,,-,1,,5,,45,,22,,,-,0,,2,,14,,10,,"ARIZONA
(34.869712, -111.760902)",
